State,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
Abia,900.769230769231,1080.0,1171.08675799087,1320.94051969178,1456.35752360026,1473.50923039363,1396.4178641183037,1335.4550374348958,1406.16666666667,1392.0,1372.1923076923076,1363.2333333333333,1329.1666666666667,1350.2,1508.1012763333335,1508.948902,1635.0327597222,1786.8504675776,1729.79850498381,1775.10026018681,1850.1002601868079,1606.0,1311.0,1425.22,1425.22,1412.3920400000002,1282.5,1390.11707595604,1653.009309436724,2405.5882395888034,3215.379369339974
Abuja,1100.0,1090.0,1226.7,1275.0,1338.0,1360.0,1254.0,1240.0,1254.4,1286.0,1262.25,1421.1,1433.9,1325.0,1960.0,2080.0,2100.0,1764.1666666666667,1800.16666666667,1818.83333333333,1718.83333333333,1510.93833333333,1283.81808333333,1370.1833333333334,1370.1833333333334,1383.214516666667,1332.3665533333333,1409.66666666667,1718.3494673522375,2492.9780197935456,3319.388228589593
Adamawa,1000.0,1200.0,1100.0,1037.5,1175.0,1257.5,1709.0,1657.5,1576.3999720982142,1528.6030578613281,1475.0,1552.5,1550.0,1500.0,1800.0,2000.0,2132.2,2284.3199999999997,2350.3199999999997,2355.32,2163.88,1765.44172707889,1517.93106929638,1402.775714285714,1428.8539714285712,1420.041155857143,1422.912508,1492.92438578763,1757.4539639239222,2684.9450820178085,3275.4309954948667
Akwa Ibom,960.625,1088.888888888889,1123.0,1525.0,1394.44444444444,1450.0,1450.0,1650.0,1343.75,1383.3333333333333,1592.857142857143,1562.857142857143,1406.6666666666667,1448.5,1714.2857142857142,1558.1632651428572,1709.11448959737,1693.526785625,1666.1899999175,1766.1899999175,1866.1899999175,1608.985,1277.3816666666667,1435.22,1437.6770666666669,1435.309604,1558.5228796133335,1587.18814467903,1895.718293472735,2496.7299486807337,3249.955042939069
Anambra,984.166666666667,1136.66666666667,1186.66666666667,1282.97820231823,1419.9946492513,1508.0416370738637,1442.6470588235295,1357.0535714285713,1361.742388044085,1343.527056012835,1296.7857142857142,1318.285140991211,1296.75,1310.7300109863281,1225.0,1241.6666666666667,1309.99083333333,1359.27497685185,1361.016975,1391.016975,1493.07833333333,1301.13636363636,1257.3295454545455,1393.3174999999999,1399.0674999999999,1400.3192375,1243.075,1256.76467239967,1698.29103573163,2694.2246977999994,3365.48837150961
Bauchi,1050.0,985.0,1050.0,1250.0,1457.5,1669.625,1657.22971191406,1669.625,1619.5411376953125,1927.3369954427083,2061.66666666667,2031.0,2232.0350341796875,2300.0,2000.0,1900.0,2067.37,1824.47,1852.9601,1852.9601,1852.9601,1616.9,1277.355,1386.2275000000002,1386.2275,1368.7822124999998,1449.618465625,1524.87210977259,1592.7295940492006,2515.6611892013943,3160.044754524091
Bayelsa,920.0,935.0,1154.0,1225.2,1400.0,1570.0,1435.0,1618.18181818182,1355.0,1390.0,1454.5454545454545,1527.7777777777778,1510.357142857143,1608.3333333333333,1700.0,1700.0,1700.0,1868.4,1915.472,2015.4720000000002,1943.472,1611.8575,1231.9825,1400.8525000000002,1435.0208,1441.6170625,1294.5109750000001,1336.84863799675,1489.6541738264345,2369.0057837414606,3131.6281746745276
Benue,1280.0,1180.0,1183.88888888889,1230.0,1244.6875,1456.25,1500.0,1375.0,1348.9375,1395.0499945746528,1508.3333333333333,1792.0,1770.5919921875,1780.0,1925.0,1975.0,2115.465,2419.30230769231,2441.46187692308,2541.461876923077,2341.46187692308,1724.17989417989,1227.857142857143,1357.7942857142857,1390.1334285714286,1376.0218671428572,1309.2055107142858,1404.54049586777,1506.93199527745,2309.7580321133414,2961.325532846098
Borno,1063.63636363636,1110.7692307692307,927.272727272727,1200.0,1311.11111111111,1652.611111111111,1592.361111111111,1652.611111111111,1694.1666666666667,1513.6499837239583,1501.0,1743.0,1751.1499837239583,1725.4797821044922,1550.0,1550.0,1550.0,1400.0,1446.9099999999999,1536.9099999999999,1536.9099999999999,1350.0,1500.0,1435.22,1442.5911999999998,1435.3782439999998,1480.0,1616.25243999386,1616.25243999386,2524.7808979177403,3226.6699875388713
Cross River,1042.5,1108.75,1154.28571428571,1433.33333333333,1532.71428571429,1531.25,1625.0,1920.85714285714,1391.25,1398.75,1465.7142857142858,1515.6666666666667,1454.7374877929701,1381.598583984375,1433.33333333333,1733.3333333333333,1733.33333333333,2009.1875,2028.3375,2128.3375,2036.5,1664.80718954248,1350.2067973856208,1429.6644444444441,1437.288133333333,1439.1740666666667,1295.915445104355,1395.49011839636,1603.892826362393,2457.045055736704,3388.8536407474394
Delta,957.7272727272727,1021.4285714285714,1091.42857142857,1241.66666666667,1400.42857142857,1431.25,1511.0,1707.142857142857,1346.6666666666667,1333.5,1430.0,1487.5,1447.857142857143,1475.0,1385.7142857142858,1242.85714285714,1389.82857142857,1660.5252,1710.167216,1810.1672160000003,1810.1672160000003,1610.71898601399,1193.8239458041958,1377.9853293181818,1377.9853293181818,1371.7786286920455,1323.4226258930692,1371.33045421766,1541.9686719089834,2379.315188053994,3198.6380993537605
