State,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
Abia,654.3571428571429,690.5263157894736,687.5,688.62,710.833333333333,706.0,770.0,794.9090909090909,797.4205860811121,887.7230788010818,1009.0,1278.125,1260.65625,1224.671875,1308.2604734,1272.0,1305.0,1227.15125,1059.0165,1041.28375,1025.75,975.0,1000.25,1012.5,1040.4225000000001,1032.1181125000003,1054.25,1095.1941456475688,1247.83832127814,1557.3927395550345,1653.9100201599535
Abuja,640.0,663.3333333333334,632.124444444444,653.2,695.6,670.0,662.7311111111111,696.0,677.0,705.25,1025.0,1124.6125,1230.5639892578124,1102.25,1182,1166.0,1149.4146,1180.41666666667,1029.8,1050.36,1033.6933333333334,1009.9166666666666,962.6883333333334,1039.1666666666667,1065.7433333333333,1033.7795666666668,959.6112916666667,1006.32984760697,1268.49054548488,1553.7459406151877,1602.6400942377156
Adamawa,638.375,745.7142857142857,671.4,680.42,735.0,741.6666666666666,798.6,741.6666666666666,809.7333374023438,879.5555419921875,1082.5,1210.9249877929688,1319.8472290039062,1301.33333333333,1350,1400.0,1400.0,1370.0,1053.4,1083.4,1063.4,1025.2583333333334,995.1009166666666,1053.01,1055.7183333333335,1052.7499416666667,1090.1947916666668,1096.6324641309066,1350.73216507967,1417.58375207038,1469.825139498
Akwa Ibom,675.0,671.6666666666666,677.0,678.0,704.444444444444,692.5,790.0,807.7777777777778,673.75,681.4285714285714,1085.71428571429,1258.3333333333333,1203.9285714285713,1146.9375,1287.5,1162.5,1184.05625,1139.0,1033.4087499999998,1033.4087499999998,1033.4087499999998,973.506,957.1400000000001,1064.325,1064.325,1059.426625,1112.7822536091116,1109.4363411565614,1301.51613711667,1585.597407152361,1629.080974205716
Anambra,659.1666666666666,680.0,680.0,685.17,701.25,707.8571428571429,766.9444444444445,779.4196428571429,781.9945417131696,883.7304207938058,1084.1571568080358,1283.125,1270.75,1238.7611355251736,1080,1021.6666666666666,1142.44883333333,1240.68815538462,1084.130802533333,1088.1952092,1016.5285425333332,1055.2673368298374,989.0210154428912,1068.2381249999999,1068.2381249999999,1066.596934375,980.79375,1077.5079924242414,1441.22427981338,1515.72202546246,1519.71786580286
Bauchi,650.0,675.2857142857143,650.0,688.571428571429,707.142857142857,718.75,693.8055555555555,718.75,816.25,935.7142857142857,1043.90909090909,1194.2857142857142,1181.6923076923076,1183.4772727272727,1225,1090.0,1125.549,1186.9823,1053.731229,1055.342034,1030.342034,977.3522222222223,956.2922222222221,1078.3444444444444,1082.6033333333332,1079.612772222222,967.0061055555556,1005.45175870677,1290.47287921808,1589.0670640109502,1715.4724573985322
Bayelsa,656.6666666666666,667.1111111111111,673.0,680.0,702.0,689.0,791.0,797.2727272727273,684.0,680.0,1002.72727272727,1250.0,1209.1666666666667,1161.875,1000,1000.0,1000.0,1185.9,1006.0,1006.0,1006.0,973.095,929.05525,1073.9125,1073.9125,1058.0788125,968.8875,1050.0275,1252.48479633167,1536.8101873481082,1591.3768118111
Benue,668.75,658.8888888888889,632.844576719577,652.727272727273,700.7,713.6363636363636,882.2222222222222,854.5454545454545,846.9458211263021,941.2422318892045,1032.87839577415,1127.37284029447,1365.162876674107,1234.5454545454545,1411.111111111111,1450.0,1451.69333333333,1341.34338461538,1009.3076923076923,1016.07692307692,1021.0769230769231,1031.53,1096.9685000000002,1071.3788499999998,1080.9188500000002,1034.42797875,1059.49,1069.39713619258,1303.67942923968,1582.754184259985,1698.5679310414282
Borno,625.75,622.7142857142857,657.272727272727,680.22,721.75,743.9090909090909,800.3181818181819,743.9090909090909,829.4642857142857,893.2916666666666,1004.09090909091,1283.7857142857142,1331.9444444444443,1282.3846153846155,1066.6666666666667,1066.6666666666667,1138.7,1153.33333333333,1034.9333333333334,1034.9333333333334,1034.9333333333334,1145.5,1045.0,1101.625,1133.86125,1072.0421875,1079.5,1108.0850239171796,1375.16229181218,1476.11533851558,1551.06914204654
Cross River,666.0,679.0,663.333333333333,665.625,710.0,682.7777777777778,740.0,793.3333333333334,677.7777777777778,672.0,1005.55555555556,1255.5555555555557,1218.5416666666667,1228.1875,1483.3333333333333,1477.7777777777778,1563.86388888889,1301.6875,1000.55375,1025.55375,1013.05375,998.528571428575,964.1071428571463,1031.25,1047.43625,1051.50229375,1171.765185114841,1068.606344432329,1365.02263765984,1514.14184972602,1551.21468037851
